ᐃᒡᓗᖁᑎᒋᔭᐅᖕᒪᖔᑕ	ᐃᒡᓗ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᖕᒪᖔᑕ
ᐊᑐᖅᑕᐅᔪᓐᓇᓕᖅᑐᑦ	ᐊᑐᖅ@ᑕ@ᐅ@ᔪᓐᓇ@ᓕᖅ@ᑐᑦ
ᓄᖅᑲᑎᑦᑎᔪᓐᓇᕐᒪᑦ	ᓄᖅᑲ@ᑎᑦ@ᑎ@ᔪᓐᓇᕐ@ᒪᑦ
ᑰᓄ	ᑰ@ᓄ
ᐅᐊ	ᐅᐊ
ᐃᓕᖅᑯᓯᕐᒧᓪᓗ	ᐃᓕᖅᑯᓯᕐ@ᒧᓪ@ᓗ
ᐃᖏᕐᕋᕙᓪᓕᐊᒻᒪᖔᑦ	ᐃᖏᕐᕋ@ᕙᓪᓕᐊ@ᒻᒪᖔᑦ
ᐃᓄᐊᓂᓘᓐᓃᑦ	ᐃᓄ@ᐊᓂ@ᓘᓐᓃᑦ
ᖃᐅᔨᒍᕕᑦ	ᖃᐅᔨ@ᒍᕕᑦ
ᐱᖁᔭᓪᓚᑦᑖᑦ	ᐱ@ᖁ@ᔭ@ᓪᓚᑦ@ᑖᑦ
ᖃᐅᔨᒪᔭᑐᖃᓕᕆᓂᖅ	ᖃᐅᔨᒪ@ᔭ@ᑐᖃ@ᓕᕆ@ᓂᖅ
ᑕᐱᕇᒃᑯᓐᓂᑦ	ᑕᐱ@ᕇ@ᒃᑯᓐ@ᓂᑦ
ᑕᑭᓂᐊ	ᑕᑭ@ᓂ@ᐊ
ᐊᐱᕆᒍᒪᖅᑲᐅᒻᒥᒐᒃᑯ	ᐊᐱᕆ@ᒍᒪ@ᖅᑲᐅ@ᒻᒥ@ᒐᒃᑯ
ᐱᕕᔅᓴᖅᑕᖃᕐᒪᖔᖅ	ᐱ@ᕕᔅ@ᓴᖅ@ᑕ@ᖃᕐ@ᒪᖔᖅ
ᒪᓕᓐᓂᕐᒧᑦ	ᒪᓕᓐ@ᓂᕐ@ᒧᑦ
ᑲᒪᑎᕕᖕᒧ	ᑲᒪ@ᑎ@ᕕᖕ@ᒧ
ᐊᖓᔪᖅᑳᓪᓚᕆᖓᓄᑦ	ᐊᖓᔪᖅᑳ@ᓪᓚᕆ@ᖓᓄᑦ
ᐊᓇᕐᕕᖓᑦᑕ	ᐊᓇᕐ@ᕕ@ᖓᑦᑕ
ᐊᓂᒍᕋᓱᒋᓵᕋᒃᑯ	ᐊᓂ@ᒍ@ᕋᓱᒋ@ᓵ@ᕋᒃᑯ
ᐱᓕᕆᖃᑎᖃᖅᑎᓪᓗᒋᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᖃᖅ@ᑎᓪᓗᒋᑦ
ᓂᕆᔪᓂᒃ	ᓂᕆ@ᔪ@ᓂᒃ
ᐋᖅᑭᑦᑕᐅᕙᑦᑐᑦ	ᐋᖅᑭᑦ@ᑕ@ᐅ@ᕙᑦ@ᑐᑦ
ᐊᖏᔪᒥᒃ	ᐊᖏ@ᔪ@ᒥᒃ
ᑐᙵᓱᒋᒃᓯᒃ	ᑐᙵ@ᓱ@ᒋᒃᓯᒃ
ᐅᑎᕐᒥᒻᒪᑕ	ᐅᑎᕐ@ᒥ@ᒻᒪᑕ
ᒪᑐᓯᔪᓐᓇᕐᓂᕐᒧᑦ	ᒪᑐ@ᓯ@ᔪᓐᓇᕐ@ᓂᕐ@ᒧᑦ
ᖃᐅᔨᒃᑲᖅᑕᐅᔪᓐᓇᖅᑐᑦ	ᖃᐅᔨ@ᒃᑲᖅ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᑎᒻᒥᖃᑦᑕᕐᓗᓂ	ᑎᒻᒥ@ᖃᑦᑕᕐ@ᓗᓂ
ᐱᔭᐅᕙᓪᓕᐊᓕᕐᒥᔪᖅ	ᐱ@ᔭ@ᐅ@ᕙᓪᓕᐊ@ᓕᕐ@ᒥ@ᔪᖅ
ᖃᐅᔨᓴᖅᑳᕐᒪᑕ	ᖃᐅᔨ@ᓴ@ᖅᑳᕐ@ᒪᑕ
ᑕᐅᑐᙳᐊᕋᒃᑯ	ᑕᐅᑐ@ᙳᐊ@ᕋᒃᑯ
ᓇᓗᓇᐃᕈᓐᓇᖏᓐᓇᕕᐅᒃ	ᓇᓗᓇ@ᐃ@ᕈᓐᓇᖏᓐ@ᓇᕕᐅᒃ
ᓄᑭᖃᐅᑎᓕᕆᓂᐅᔪᒧᑦ	ᓄᑭ@ᖃᐅᑎ@ᓕᕆ@ᓂ@ᐅ@ᔪ@ᒧᑦ
ᓴᓇᐅᔭᖃᑦᑕᕐᒪᑕ	ᓴᓇ@ᐅ@ᔭ@ᖃᑦᑕᕐ@ᒪᑕ
ᑕᐃᒪᐃᓐᓇᒋᑦ	ᑕᐃᒪᐃᓐ@ᓇ@ᒋᑦ
ᓇᓗᓇᐃᖅᑐᐃᒍᑕᐅᒻᒪᑦ	ᓇᓗᓇ@ᐃᖅ@ᑐ@ᐃ@ᒍᑕ@ᐅ@ᒻᒪᑦ
ᓴᓇᒋᐊᕈᑕᐅᔪᒥᒃ	ᓴᓇ@ᒋᐊ@ᕈᑕ@ᐅ@ᔪ@ᒥᒃ
ᐅᐱᓐᓂᖅ	ᐅᐱᓐ@ᓂᖅ
ᑕᖅᑭᕆᔭᖓᓂᒃ	ᑕᖅᑭ@ᕆ@ᔭ@ᖓᓂᒃ
ᒪᓕᓯᕙᒻᒪᑕ	ᒪᓕ@ᓯ@ᕙᒻ@ᒪᑕ
ᑐᒃᓯᕋᐅᑎᓕᐊᕆᔭᐅᔪᑦ	ᑐᒃᓯ@ᕋ@ᐅᑎ@ᓕᐊ@ᕆ@ᔭ@ᐅ@ᔪᑦ
ᐃᒡᓗᔪᐊᖅ	ᐃᒡᓗ@ᔪᐊᖅ
ᐃᕙᓗᐊᕐᔪᒻᒥᑦ	ᐃᕙᓗ@ᐊᕐᔪᒻ@ᒥᑦ
ᐅᕙᑦᑎᓄ	ᐅᕙ@ᑦᑎᓄ
ᐊᐅᓚᔨᔪᒃᓴᐅᖕᒪᑦ	ᐊᐅᓚᔨ@ᔪᒃᓴ@ᐅ@ᖕᒪᑦ
ᐱᓕᕆᕕᒋᔭᖅᑕ	ᐱ@ᓕᕆ@ᕕ@ᒋ@ᔭᖅ@ᑕ
ᐅᖃᖅᑲᐅᒻᒥᒻᒪᓐ	ᐅᖃ@ᖅᑲᐅ@ᒻᒥ@ᒻᒪᓐ
ᓈᒻᒪᓐᓂᖅᓴᒧᑦ	ᓈᒻᒪᓐ@ᓂᖅᓴ@ᒧᑦ
ᐱᔭᐅᔪᓐᓇᕐᒪᑦ	ᐱ@ᔭ@ᐅ@ᔪᓐᓇᕐ@ᒪᑦ
ᓂᖓᐅᖃᕐᒥᒐᒪ	ᓂᖓᐅ@ᖃᕐ@ᒥ@ᒐᒪ
ᒥᑦᑎᒪᑕᓕᖕᒧᑦ	ᒥᑦᑎᒪᑕᓕᖕ@ᒧᑦ
ᐱᓂᐅᓚᐅᕐᒪᑦ	ᐱ@ᓂ@ᐅ@ᓚᐅᕐ@ᒪᑦ
ᐱᕙᓪᓕᐊᑎᑕᐅᓂᖓᓄ	ᐱ@ᕙᓪᓕᐊ@ᑎ@ᑕ@ᐅ@ᓂ@ᖓᓄ
ᐅᖃᖅᓯᕆᓂᖅ	ᐅᖃᖅ@ᓯ@ᕆ@ᓂᖅ
ᐊᑭᑦᑐᕆᐊᕐᓂᖅᓴᐅᖕᒪᑦ	ᐊᑭ@ᑦᑐ@ᕆᐊᕐ@ᓂᖅᓴ@ᐅ@ᖕᒪᑦ
ᐊᑭᓕᒃᓴᖃᖏᑦᑐᑦ	ᐊᑭ@ᓕ@ᒃᓴ@ᖃ@ᖏᑦ@ᑐᑦ
ᑐᕌᒐᖃᕈᒪᒻᒪᑕ	ᑐᕌ@ᒐ@ᖃ@ᕈᒪ@ᒻᒪᑕ
ᐅᓯᐅᒻᒪᓕ	ᐅᓯ@ᐅ@ᒻᒪ@ᓕ
ᐃᓚᐅᔪᓂᑦ	ᐃᓚ@ᐅ@ᔪ@ᓂᑦ
ᐊᑭᖃᖅᑐᒥᓂᐅᒻᒪᑦ	ᐊᑭ@ᖃᖅ@ᑐ@ᒥᓂ@ᐅ@ᒻᒪᑦ
ᑐᕌᖓᑦᑕᖅᐳᑦ	ᑐᕌ@ᖓ@ᑦᑕᖅ@ᐳᑦ
ᓱᔪᒪᕙᑦ	ᓱ@ᔪᒪ@ᕙᑦ
ᑭᒡᒐᖅᑐᐃᔨᐅᓂᕐᒧᑦ	ᑭᒡᒐᖅ@ᑐ@ᐃ@ᔨ@ᐅ@ᓂᕐ@ᒧᑦ
ᐊᒻᒪᓗᓂ	ᐊᒻᒪ@ᓗᓂ
ᒫᒃᓯ	ᒫᒃᓯ
ᓴᓇᓕᕐᒪᑕᒎᖅ	ᓴᓇ@ᓕᕐ@ᒪᑕ@ᒎᖅ
ᐅᑦᔨᕆᓚᐅᕐᒥᓯᐅᒃ	ᐅᑦᔨ@ᕆ@ᓚᐅᕐ@ᒥ@ᓯᐅᒃ
ᓯᕗᓪᓕᐅᔪᓂᑦ	ᓯᕗ@ᓪᓕ@ᐅ@ᔪ@ᓂᑦ
ᐱᔪᒪᔪᖃᐅᖅᑐᒻᒪᕆᐅᒻᒪᑦ	ᐱ@ᔪᒪ@ᔪ@ᖃᐅᖅ@ᑐ@ᒻᒪᕆ@ᐅ@ᒻᒪᑦ
ᑲᔪᓯᔪᒃᓴᐅᕗᑦ	ᑲᔪᓯ@ᔪᒃᓴ@ᐅ@ᕗᑦ
ᑭᓯᐊᓂᑉᑕᐅᖅ	ᑭᓯᐊᓂ@ᑉᑕᐅᖅ
ᐊᑭ	ᐊᑭ
ᐃᖅᑲᓇᐃᔮᕆᔭᐅᕙᑉᐳᖅ	ᐃᖅᑲᓇᐃᔮ@ᕆ@ᔭ@ᐅ@ᕙᑉ@ᐳᖅ
ᖃᐅᔨᓕᕆᓪᓗᑕ	ᖃᐅ@ᔨ@ᓕᕆ@ᓪᓗᑕ
ᑕᑯᐊᓗ	ᑕᑯ@ᐊ@ᓗ
ᖃᓄᐃᔅᓴᖏᓪᓚᖓ	ᖃᓄᐃ@ᔅᓴ@ᖏᓪ@ᓚᖓ
ᑲᔪᓯᑎᑦᑎᕙᓪᓕᐊᓂᕐᒥᑦ	ᑲᔪᓯ@ᑎᑦ@ᑎ@ᕙᓪᓕᐊ@ᓂᕐ@ᒥᑦ
ᐊᓚᓂᕐᒧᑦ	ᐊᓚᓂᕐ@ᒧᑦ
ᐊᕕᖕᓂᕐᒧᑦ	ᐊᕕᖕ@ᓂᕐ@ᒧᑦ
ᖃᓄᑦᑐᐊᐱᐅᓪᓗᓂ	ᖃᓄᑦ@ᑐ@ᐊᐱ@ᐅ@ᓪᓗᓂ
ᐱᔭᑦᓴᑦ	ᐱ@ᔭ@ᑦᓴ@ᑦ
ᐃᑲᔪᖅᓯᒻᒥᔭᕋᑦᑕᐅᖅ	ᐃᑲᔪᖅ@ᓯ@ᒻᒥ@ᔭᕋ@ᑦᑕᐅᖅ
ᖃᐅᔨᔪᓐᓇᖅᑐᒍᑦ	ᖃᐅᔨ@ᔪᓐᓇᖅ@ᑐᒍᑦ
ᑑᓕ	ᑑ@ᓕ
ᖃᐅᔨᓚᖓᔪᑦ	ᖃᐅᔨ@ᓚᖓ@ᔪᑦ
ᓄᑭᖃᐅᑎᓄᑦ	ᓄᑭ@ᖃᐅᑎ@ᓄᑦ
ᓴᓇᔭᐅᔪᒃᓴᒥᑦ	ᓴᓇ@ᔭ@ᐅ@ᔪᒃᓴ@ᒥᑦ
ᓴᐳᔾᔨᔨᒻᒪᕆᒃ	ᓴᐳᔾᔨ@ᔨ@ᒻᒪᕆᒃ
ᑕᑯᔭᕆᐊᓛᖅᑐᓴᐅᒻᒥᔪᑦ	ᑕᑯ@ᔭ@ᕆᐊ@ᓛᖅ@ᑐ@ᓴ@ᐅ@ᒻᒥ@ᔪᑦ
ᑎᑭᑎᑕᐅᔪᒫᕐᒪᖔᑕ	ᑎᑭ@ᑎ@ᑕ@ᐅ@ᔪᒫᕐ@ᒪᖔᑕ
ᐊᐅᓚᑦᑎᔪᓐᓇᓕᖅᐹᕋᓱᐊᕐᓂᕐᒧᑦ	ᐊᐅᓚᑦ@ᑎ@ᔪᓐᓇ@ᓕᖅ@ᐹ@ᕋᓱᐊᕐ@ᓂᕐ@ᒧᑦ
ᐱᑎᓚᐅᖅᑕᖓᓄᑦ	ᐱ@ᑎ@ᓚᐅᖅ@ᑕ@ᖓᓄᑦ
ᑕᐱᒃᑯᐊᖑᓕᕐᒪᑕ	ᑕᐱ@ᒃᑯ@ᐊ@ᖑ@ᓕᕐ@ᒪᑕ
ᐱᓕᕆᖃᑎᖃᖃᑦᑕᖅᑐᒍᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᖃ@ᖃᑦᑕᖅ@ᑐᒍᑦ
ᓴᓇᔭᐅᕙᓪᓕᐊᓂᕐᒧᑦ	ᓴᓇ@ᔭ@ᐅ@ᕙᓪᓕᐊ@ᓂᕐ@ᒧᑦ
ᑐᕌᖓᓗᐊᕐᒪᑕ	ᑐᕌ@ᖓ@ᓗᐊᕐ@ᒪᑕ
ᖃᓄ	ᖃᓄ
ᐱᔭᑦᓴᖅ	ᐱ@ᔭ@ᑦᓴᖅ
ᓇᐅᔮᕐᒥᐅᑕᐅᔪᓂᒃ	ᓇᐅᔮᕐ@ᒥᐅᑕ@ᐅ@ᔪ@ᓂᒃ
ᖃᐅᔨᒪᔪᒃᓴᐅᕗᑦ	ᖃᐅᔨᒪ@ᔪᒃᓴ@ᐅ@ᕗᑦ
ᓵᑉᐸᓪᓕᐊᒍᓐᓇᓯᒻᒥᔪᒍᑦ	ᓵᑉ@ᐸᓪᓕᐊ@ᒍᓐᓇ@ᓯ@ᒻᒥ@ᔪᒍᑦ
ᐸᕐᓇᖅᑐᑦ	ᐸᕐᓇᖅ@ᑐᑦ
ᖃᐅᔨᒪᔪᒧ	ᖃᐅᔨᒪ@ᔪ@ᒧ
ᓂᕿᑖᕐᓂᕐᒧᑦ	ᓂᕿ@ᑖᕐ@ᓂᕐ@ᒧᑦ
ᐃᓄᑐᐊᒥᒃ	ᐃᓄ@ᑐᐊ@ᒥᒃ
ᕿᒥᕐᕈᓇᖕᓂᕐᒧᓪᓗ	ᕿᒥᕐᕈ@ᓇᖕ@ᓂᕐ@ᒧᓪ@ᓗ
ᐅᖃᕆᕗᑦ	ᐅᖃ@ᕆ@ᕗᑦ
ᐊᐅᓪᓚᖅᑎᑕᐅᕙᒻᒪᑕ	ᐊᐅ@ᓪᓚᖅ@ᑎ@ᑕ@ᐅ@ᕙᒻ@ᒪᑕ
ᓈᒻᒪᓯᒃᐸᑦ	ᓈᒻᒪ@ᓯ@ᒃᐸᑦ
ᐄᔭᒐᐅᔪᑦ	ᐄ@ᔭ@ᒐ@ᐅ@ᔪᑦ
ᖃᐅᔨᒪᔪᒃᓴᐅᒋᕗᖅ	ᖃᐅᔨᒪ@ᔪᒃᓴ@ᐅ@ᒋ@ᕗᖅ
ᑲᒪᒋᔭᖃᐃᓐᓇᖅᑐᑦ	ᑲᒪ@ᒋ@ᔭ@ᖃ@ᐃᓐᓇᖅ@ᑐᑦ
ᐊᐱᕆᒃᑲᓐᓂᕈᓐᓇᖅᐳᑎᑦ	ᐊᐱᕆ@ᒃᑲᓐᓂ@ᕈᓐᓇᖅ@ᐳᑎᑦ
ᐅᑕᖅᑭᕕᐅᔪᒥᒃ	ᐅᑕᖅᑭ@ᕕ@ᐅ@ᔪ@ᒥᒃ
ᐃᓱᒪᒋᓯᒪᒻᒪᑕ	ᐃᓱᒪ@ᒋ@ᓯ@ᒪ@ᒻᒪᑕ
ᐃᑲᔪᖅᓱᐃᒻᒪᑕ	ᐃᑲᔪᖅ@ᓱ@ᐃ@ᒻᒪᑕ
ᓄᖅᑲᕈᑦᑕ	ᓄᖅᑲ@ᕈᑦᑕ
ᐃᑲᔪᕈᑕᐅᕙᑦᑐᓐ	ᐃᑲᔪ@ᕈᑕ@ᐅ@ᕙᑦ@ᑐᓐ
ᐱᓇᓱᒍᑎᒧᑦ	ᐱ@ᓇᓱ@ᒍᑎ@ᒧᑦ
ᑕᐅᓪᓗ	ᑕ@ᐅᓪ@ᓗ
ᐸᓂᓗᒃ	ᐸᓂ@ᓗᒃ
ᒐᕙᒪᓄᓪᓗ	ᒐᕙᒪ@ᓄᓪ@ᓗ
ᐃᑲᔪᖅᓱᕇᖅᐳᒍᑦ	ᐃᑲᔪᖅ@ᓱ@ᕇᖅ@ᐳᒍᑦ
ᐊᓪᓚᕝᕕᒃᓴᐅᔪᒧᑦ	ᐊᓪᓚᕝ@ᕕ@ᒃᓴ@ᐅ@ᔪ@ᒧᑦ
ᐊᓪᓚᕝᕕᖃᕋᓱᑦᑐᑦ	ᐊᓪᓚᕝ@ᕕ@ᖃ@ᕋᓱᑦ@ᑐᑦ
ᐃᓱᒪᖃᓚᐅᕐᒥᔪᒍᑦ	ᐃᓱᒪ@ᖃ@ᓚᐅᕐ@ᒥ@ᔪᒍᑦ
ᓇᒻᒥᓂᕋᓛᕆᔭᐅᔪᑦ	ᓇᒻᒥᓂ@ᕋᓛ@ᕆ@ᔭ@ᐅ@ᔪᑦ
ᐱᖁᔭᖃᐃ	ᐱ@ᖁ@ᔭ@ᖃᐃ
