ᐊᖑᓇᓱᒃᑕᐅᔪᓐᓇᖅᑐᑦ	ᐊᖑ@ᓇᓱᒃ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᓂᐱᓂᑦ	ᓂᐱ@ᓂᑦ
ᖃᐅᔨᓴᑦᓯᐊᕈᑕᐅᒻᒪᑦ	ᖃᐅᔨ@ᓴ@ᑦᓯᐊ@ᕈᑕ@ᐅ@ᒻᒪᑦ
ᑲᒪᒋᓂᖓᓄ	ᑲᒪ@ᒋ@ᓂ@ᖓᓄ
ᓅᑉᐸᓪᓕᐊᑎᓪᓗᒍ	ᓅᑉ@ᐸᓪᓕᐊ@ᑎᓪᓗᒍ
ᐅᐸᖃᑦᑕᕐᕕᐅᔪᒥᒃ	ᐅᐸ@ᖃᑦᑕᕐ@ᕕ@ᐅ@ᔪ@ᒥᒃ
ᐊᐅᓚᑦᑎᕙᒃᑭᕗᑦ	ᐊᐅᓚᑦ@ᑎ@ᕙᒃ@ᑭ@ᕗᑦ
ᐱᕈᖅᐸᓪᓕᐊᒻᒪᕆᑦᑎᓪᓗᒍ	ᐱᕈᖅ@ᐸᓪᓕᐊ@ᒻᒪᕆᑦ@ᑎᓪᓗᒍ
ᐅᑭᐅᖅ	ᐅᑭᐅᖅ
ᕿᐅᓗᒍ	ᕿᐅ@ᓗ@ᒍ
ᐱᕙᓪᓕᐊᑦᑎᐊᕐᑐᒪᕆᐊᓗᖕᒪᑕ	ᐱ@ᕙᓪᓕᐊ@ᑦᑎᐊᕐ@ᑐ@ᒪᕆ@ᐊ@ᓗᖕ@ᒪᑕ
ᐊᕐᕌᒍᐊᓄ	ᐊᕐᕌᒍ@ᐊᓄ
ᕿᒥᕐᕈᕙᓪᓕᐊᒻᒪᑕ	ᕿᒥᕐᕈ@ᕙᓪᓕᐊ@ᒻᒪᑕ
ᓂᐅᕕᕈᓐᓇᙱᑦᑐᑦ	ᓂᐅᕕ@ᕈᓐᓇᙱᑦ@ᑐᑦ
ᓴᓇᔭᐅᔪᒃᓴᒥᑦ	ᓴᓇ@ᔭ@ᐅ@ᔪᒃᓴ@ᒥᑦ
ᖁᐊᕐᒧᑦ	ᖁᐊᕐ@ᒧᑦ
ᖃᐃᒋᑦ	ᖃᐃ@ᒋᑦ
ᓄᖅᑲᕋᑎᑦ	ᓄᖅᑲ@ᕋᑎᑦ
ᑕᐃᒪᐃᒃᐸᑦ	ᑕᐃᒪᐃᒃ@ᐸᑦ
ᓴᓇᖃᑎᖏᒃ	ᓴᓇ@ᖃᑎ@ᖏᒃ
ᐃᓱᒪᓕᐅᓂᕐᒧᑦ	ᐃᓱᒪ@ᓕ@ᐅ@ᓂᕐ@ᒧᑦ
ᓴᖅᑭᓛᖅᐳᖅ	ᓴᖅᑭ@ᓛᖅ@ᐳᖅ
ᐃᓯᒪᒋᔭᖃᕐᒪᖔᑕ	ᐃᓯᒪ@ᒋ@ᔭ@ᖃᕐ@ᒪᖔᑕ
ᐊᑖᑕᒋᔭᒧᓪᓗ	ᐊᑖᑕ@ᒋ@ᔭ@ᒧᓪ@ᓗ
ᑐᕌᖓᓪᓚᕆᑦᑐᑦ	ᑐᕌ@ᖓ@ᓪᓚᕆᑦ@ᑐᑦ
ᐊᕕᖕᓂᕐᒧᑦ	ᐊᕕᖕ@ᓂᕐ@ᒧᑦ
ᐊᓯᔾᔨᐊᕐᔪᒃᑲᓐᓂᕈᓂᐅᒃ	ᐊᓯ@ᔾᔨ@ᐊᕐᔪ@ᒃᑲᓐᓂ@ᕈᓂᐅᒃ
ᐊᔭᐅᕋᓱᐊᕐᓂᖅ	ᐊᔭ@ᐅ@ᕋᓱᐊᕐ@ᓂᖅ
ᕿᒥᕐᕈᐊᒐᖃᕐᕕᒻᒧᑦ	ᕿᒥᕐᕈ@ᐊ@ᒐ@ᖃᕐᕕᒻ@ᒧᑦ
ᕿᒥᕐᕈᓇᖕᓂᖃᓚᐅᖅᑐᑦ	ᕿᒥᕐᕈ@ᓇᖕ@ᓂ@ᖃ@ᓚᐅᖅ@ᑐᑦ
ᐸᕐᓇᐃᓕᕌᖓᑦᑕ	ᐸᕐᓇ@ᐃ@ᓕ@ᕌᖓᑦᑕ
ᓴᖅᑭᑕᕕᓂᖓᓂᒃ	ᓴᖅᑭ@ᑕ@ᕕᓂ@ᖓᓂᒃ
ᑐᖏᓕᕆᔭᐅᔪᒧᑦ	ᑐᖏᓕ@ᕆ@ᔭ@ᐅ@ᔪ@ᒧᑦ
ᓴᖅᑭᑎᓚᐅᕐᒥᔪᑦ	ᓴᖅᑭ@ᑎ@ᓚᐅᕐ@ᒥ@ᔪᑦ
ᐱᓕᕆᖃᑎᖃᐃᓐᓇᕋᓱᒃᑐᒍᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᖃ@ᐃᓐᓇ@ᕋᓱᒃ@ᑐᒍᑦ
ᐱᕈᖅᐸᓪᓕᐊᔾᔪᑕᐅᔪᓂᑦ	ᐱᕈᖅ@ᐸᓪᓕᐊ@ᔾᔪᑕ@ᐅ@ᔪ@ᓂᑦ
ᖁᒻᒧᐊᖅᑎᑕᐅᔪᑎᒍᑦ	ᖁᒻᒧ@ᐊᖅ@ᑎ@ᑕ@ᐅ@ᔪ@ᑎᒍᑦ
ᐃᑲᔪᕐᓂᖃᕐᓗᓂ	ᐃᑲᔪᕐ@ᓂ@ᖃᕐ@ᓗᓂ
ᑕᒪᓐᓇ	ᑕᒪᓐᓇ
ᓄᖅᑲᕐᒪᖔᑕ	ᓄᖅᑲᕐ@ᒪᖔᑕ
ᖃᐅᔨᓴᖅᐸᓪᓕᐊᓕᖅᑐᑦ	ᖃᐅᔨ@ᓴᖅ@ᐸᓪᓕᐊ@ᓕᖅ@ᑐᑦ
ᐆᒻᒪᖁᑎᓕᕆᔨᐅᔪᒧᑦ	ᐆᒻᒪ@ᖁᑎ@ᓕᕆ@ᔨ@ᐅ@ᔪ@ᒧᑦ
ᐊᖏᕐᒪᒍ	ᐊᖏᕐ@ᒪᒍ
ᐃᑲᔪᖅᐹᓪᓕᕈᓐᓇᕐᒪᖔᑕ	ᐃᑲᔪᖅ@ᐹᓪᓕ@ᕈᓐᓇᕐ@ᒪᖔᑕ
ᕿᒥᕐᕈᖃᑕᐅᓇᓱᑉᐳᒍᑦ	ᕿᒥᕐᕈ@ᖃᑕᐅ@ᓇᓱᑉ@ᐳᒍᑦ
ᐊᐅᓚᖅᑎᑕᐅᕙᒃᑐᑦ	ᐊᐅᓚᖅ@ᑎ@ᑕ@ᐅ@ᕙᒃ@ᑐᑦ
ᓅᖕᒥᑦ	ᓅᖕ@ᒥᑦ
ᐅᒥᖕᒪᒃᑑᖅ	ᐅᒥᖕᒪᒃ@ᑑᖅ
ᐋᖅᑭᒋᐊᕐᓂᖅ	ᐋᖅᑭ@ᒋᐊᕐ@ᓂᖅ
ᐊᔭᐅᖅᑐᐃᔨᐅᓪᓗᓂ	ᐊᔭ@ᐅᖅ@ᑐ@ᐃ@ᔨ@ᐅ@ᓪᓗᓂ
ᐊᖑᓇᓱᒍᑎᒋᓚᐅᖅᑕᖓᓄᑦ	ᐊᖑ@ᓇᓱ@ᒍᑎ@ᒋ@ᓚᐅᖅ@ᑕ@ᖓᓄᑦ
ᐱᒋᐊᖅᑕᐅᔪᓐᓇᖅᑐᑦ	ᐱ@ᒋᐊᖅ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐅᐱᒋᔪᒪᖕᒥᔭᒃᑲ	ᐅᐱ@ᒋ@ᔪᒪ@ᖕᒥ@ᔭᒃᑲ
ᖁᕕᐊᓱᓐᓇᖓᑦ	ᖁᕕᐊ@ᓱᓐ@ᓇ@ᖓᑦ
ᓄᑭᖃᐅᑎᓄᑦ	ᓄᑭ@ᖃᐅᑎ@ᓄᑦ
ᐊᖏᕈᓐᓇᕋᒪ	ᐊᖏ@ᕈᓐᓇ@ᕋᒪ
ᓈᓚᖕᓂᖃᓚᐅᖅᑎᓪᓗᒋᑦ	ᓈᓚᖕ@ᓂ@ᖃ@ᓚᐅᖅ@ᑎᓪᓗᒋᑦ
ᐊᑐᖅᑕᐅᔪᓐᓇᕐᓂᖓᓂᒃ	ᐊᑐᖅ@ᑕ@ᐅ@ᔪᓐᓇᕐ@ᓂ@ᖓᓂᒃ
ᒐᕙᒪᒋᔭᐅᔪᑎᒍ	ᒐᕙᒪ@ᒋ@ᔭ@ᐅ@ᔪ@ᑎᒍ
ᕿᒥᕐᕈᓇᓛᕐᒪᑕ	ᕿᒥᕐᕈ@ᓇ@ᓛᕐ@ᒪᑕ
ᒪᑯᓂᖓᓘᓐᓃ	ᒪᑯ@ᓂᖓ@ᓘᓐᓃ
ᖃᒥᖃᑦᑕᕐᒪᑕ	ᖃᒥ@ᖃᑦᑕᕐ@ᒪᑕ
ᐱᕙᓪᓕᐊᓂᖃᑦᑐᑦ	ᐱ@ᕙᓪᓕᐊ@ᓂ@ᖃᑦ@ᑐᑦ
ᖁᔭᓐᓇᒦᕆᕙᕋᓗ	ᖁᔭᓐᓇᒦ@ᕆ@ᕙᕋ@ᓗ
ᐊᐅᓪᓚᐅᔾᔨᔨᓂᑦ	ᐊᐅ@ᓪᓚ@ᐅᔾ@ᔨ@ᔨ@ᓂᑦ
ᖃᑉᓯᓪᓗ	ᖃᑉᓯᓪ@ᓗ
ᓴᙱᓂᖃᕐᕕᖃᕐᓗᓂ	ᓴᙱ@ᓂ@ᖃᕐᕕ@ᖃᕐ@ᓗᓂ
ᐱᓇᓱᒍᓐᓇᕐᒥ	ᐱ@ᓇᓱ@ᒍᓐᓇᕐ@ᒥ
ᐊᐱᖅᓱᖃᑎᒻᒪ	ᐊᐱᖅ@ᓱ@ᖃᑎᒻ@ᒪ
ᑲᓇᓐᓇᕐᒧᑦ	ᑲᓇᓐᓇᕐ@ᒧᑦ
ᐅᐸᒍᓐᓇᓛᖅᑐᒃᓴᐅᕗᑦ	ᐅᐸ@ᒍᓐᓇ@ᓛᖅ@ᑐᒃᓴ@ᐅ@ᕗᑦ
ᑲᒪᒋᓇᓱᒃᑐ	ᑲᒪ@ᒋ@ᓇᓱᒃ@ᑐ
ᓄᖑᑉᐸᓪᓕᐊᓂᖓᓂᒃ	ᓄᖑᑉ@ᐸᓪᓕᐊ@ᓂ@ᖓᓂᒃ
ᓇᓗᓇᐃᔭᐃᔪᓗᐊᕈᒫᕋᑉᑕ	ᓇᓗᓇ@ᐃᔭ@ᐃ@ᔪ@ᓗ@ᐊ@ᕈᒫ@ᕋᑉᑕ
ᑭᐅᒃᑲᓐᓂᕈᒫᕋᒃᑯ	ᑭᐅ@ᒃᑲᓐᓂ@ᕈᒫ@ᕋᒃᑯ
ᐳᓚᕋᕈᓐᓇᖅᐳᒍᑦ	ᐳᓚ@ᕋ@ᕈᓐᓇᖅ@ᐳᒍᑦ
ᑕᐃᒪᐃᓐᓇᓱᒃᑐᒍᑦ	ᑕᐃᒪᐃᓐ@ᓇᓱᒃ@ᑐᒍᑦ
ᑭᒡᒐᑐᖅᓯ	ᑭᒡᒐ@ᑐᖅ@ᓯ
ᐊᕐᕌᒍᖁᑎᖃᑦᑎᓪᓗᒋᓐ	ᐊᕐᕌᒍ@ᖁᑎ@ᖃᑦ@ᑎᓪᓗᒋᓐ
ᐱᓕᕆᕝᕕᒃᑖᕐᓂᕐᒧᑦ	ᐱ@ᓕᕆ@ᕝᕕᒃ@ᑖᕐ@ᓂᕐ@ᒧᑦ
ᑕᒪᓐᓇᐅᕗᖅ	ᑕᒪᓐᓇ@ᐅ@ᕗᖅ
ᐊᖏᖁᔭᐅᒻᒪᖔᑕ	ᐊᖏ@ᖁ@ᔭ@ᐅ@ᒻᒪᖔᑕ
ᑐᑭᒋᓂᖅᓴᐅᖅᑰᓕᕐᒪᒍ	ᑐᑭ@ᒋ@ᓂᖅᓴ@ᐅ@ᖅᑰ@ᓕᕐ@ᒪᒍ
ᐋᖅᑭᒃᓱᐃᔨᐅᕙᑦᑐᒧᑦ	ᐋᖅᑭᒃ@ᓱ@ᐃ@ᔨ@ᐅ@ᕙᑦ@ᑐ@ᒧᑦ
ᐳᓚᕋᕐᕕᐅᔪᓐᓇᕐᓂᖓᓂᒃ	ᐳᓚ@ᕋᕐ@ᕕ@ᐅ@ᔪᓐᓇᕐ@ᓂ@ᖓᓂᒃ
ᐱᓕᕆᒍᒪᔭᒥᓄᑦ	ᐱ@ᓕᕆ@ᒍᒪ@ᔭ@ᒥ@ᓄᑦ
ᐋᖅᑭᓱᖅᑕᐅᕙᓪᓕᐊᒻᒪᑦ	ᐋᖅᑭ@ᓱᖅ@ᑕ@ᐅ@ᕙᓪᓕᐊ@ᒻᒪᑦ
ᐱᔭᐅᔪᓐᓇᕐᒪᑦ	ᐱ@ᔭ@ᐅ@ᔪᓐᓇᕐ@ᒪᑦ
ᐊᑐᖅᑐᐊᑕᐅᕙᑦᑐᑦ	ᐊᑐᖅ@ᑐ@ᐊ@ᑕ@ᐅ@ᕙᑦ@ᑐᑦ
ᐱᔪᓐᓇᖅᑐᒻᒪᕆᐅᕙᓚᐅᖅᐳᑦ	ᐱ@ᔪᓐᓇᖅ@ᑐ@ᒻᒪᕆ@ᐅ@ᕙ@ᓚᐅᖅ@ᐳᑦ
ᐊᕙᑎᓕᕆᓂᕐᒧ	ᐊᕙᑎ@ᓕᕆ@ᓂᕐ@ᒧ
ᐅᖃᐅᔾᔭᐅᕙᑦᑐᒍᑦ	ᐅᖃ@ᐅᔾᔭ@ᐅ@ᕙᑦ@ᑐᒍᑦ
ᐱᓇᓱᒍᓐᓇᕐᒥᔪᑦ	ᐱ@ᓇᓱ@ᒍᓐᓇᕐ@ᒥ@ᔪᑦ
ᐅᖃᖅᑲᐅᒻᒥᒐᒪᐃᓛᒃ	ᐅᖃ@ᖅᑲᐅ@ᒻᒥ@ᒐᒪ@ᐃᓛᒃ
ᐋᖅᑭᓱᐃᓂᕐᒧᑦ	ᐋᖅᑭ@ᓱ@ᐃ@ᓂᕐ@ᒧᑦ
ᓴᖅᑭᑎᕆᓚᐅᕐᐳᑦ	ᓴᖅᑭ@ᑎ@ᕆ@ᓚᐅᕐ@ᐳᑦ
ᑐᓂᔭᐅᕙᑦᑐᑦ	ᑐᓂ@ᔭ@ᐅ@ᕙᑦ@ᑐᑦ
ᑕᑯᒋᓪᓕ	ᑕᑯ@ᒋᓪ@ᓕ
ᓂᕆᐅᖕᓂᖃᖅᑐᑦ	ᓂᕆᐅᖕ@ᓂ@ᖃᖅ@ᑐᑦ
ᖃᐅᔨᒪᓂᑐᖃᖓᑕ	ᖃᐅᔨᒪ@ᓂ@ᑐᖃ@ᖓᑕ
ᓇᒻᒥᓂᖃᐅᑎᓂᑦ	ᓇᒻᒥᓂ@ᖃᐅᑎ@ᓂᑦ
ᐊᒥᓱᒋᐊᓄᑦ	ᐊᒥᓱ@ᒋ@ᐊᓄᑦ
ᑕᐃᒪᐃᓐᓂᖃᕈᓐᓇᖅᑐᑦ	ᑕᐃᒪᐃᓐ@ᓂ@ᖃ@ᕈᓐᓇᖅ@ᑐᑦ
ᖃᐅᔨᒪᖃᑦᑕᖅᐱᑕ	ᖃᐅᔨᒪ@ᖃᑦᑕᖅ@ᐱᑕ
ᐳᓛᖃᑦᑕᖅᑐᕆᔭᐅᔪᑦ	ᐳᓛ@ᖃᑦᑕᖅ@ᑐ@ᕆ@ᔭ@ᐅ@ᔪᑦ
ᓯᓚᑦᑐᖅᓴᕐᕕᒻᒥᐅᑕᐅᔪᑦ	ᓯᓚ@ᑦᑐᖅ@ᓴᕐ@ᕕᒻ@ᒥᐅᑕ@ᐅ@ᔪᑦ
ᐊᖏᕈᓐᓇᖅᐱᖓ	ᐊᖏ@ᕈᓐᓇᖅ@ᐱᖓ
ᐃᑲᔪᕋᓱᒃᑐᒍᑦ	ᐃᑲᔪ@ᕋᓱᒃ@ᑐᒍᑦ
ᐊᒥᑦᑐᕐᒧ	ᐊᒥᑦᑐᕐ@ᒧ
ᐅᑉᐸᓘᓐᓃᑦ	ᐅᑉᐸ@ᓘᓐᓃᑦ
ᐅᔾᔨᕆᕋᑖᕋᒃᑯ	ᐅᔾᔨ@ᕆ@ᕋᑖ@ᕋᒃᑯ
ᐸᐃᔨᐅᓂᕐᒧᑦ	ᐸᐃ@ᔨ@ᐅ@ᓂᕐ@ᒧᑦ
ᖃᓄᐃᔅᓴᖏᓪᓚᖓ	ᖃᓄᐃ@ᔅᓴ@ᖏᓪ@ᓚᖓ
ᐃᑲᔪᖅᑕᐅᕙᒻᒪᑕ	ᐃᑲᔪᖅ@ᑕ@ᐅ@ᕙᒻ@ᒪᑕ
ᐱᓪᓗᐊᑕᐅᓂᐅᔪᑦ	ᐱ@ᓪᓗᐊ@ᑕ@ᐅ@ᓂ@ᐅ@ᔪᑦ
ᐊᔪᓕᕈᑕᐅᕙᓚᐅᖅᑐᑦ	ᐊᔪ@ᓕ@ᕈᑕ@ᐅ@ᕙ@ᓚᐅᖅ@ᑐᑦ
ᓂᓕᐊᓂ	ᓂᓕ@ᐊ@ᓂ
ᐱᓪᓚᕆᒋᔭᐅᔪᓂᑦ	ᐱ@ᓪᓚᕆ@ᒋ@ᔭ@ᐅ@ᔪ@ᓂᑦ
ᓴᓇᔨᐅᓂᒃᓴᒧᑦ	ᓴᓇ@ᔨ@ᐅ@ᓂ@ᒃᓴ@ᒧᑦ
ᓇᓗᓇᐃᔭᐃᔪᓂᒃ	ᓇᓗᓇ@ᐃᔭ@ᐃ@ᔪ@ᓂᒃ
ᓂᕆᖃᑦᑕᕈᑦᑕ	ᓂᕆ@ᖃᑦᑕ@ᕈᑦᑕ
ᐃᔨᒋᔭᐅᓂᖅᓴᐅᕗᑦ	ᐃᔨ@ᒋ@ᔭ@ᐅ@ᓂᖅᓴ@ᐅ@ᕗᑦ
ᑐᕌᖅᑕᐅᔪᓂᒃ	ᑐᕌᖅ@ᑕ@ᐅ@ᔪ@ᓂᒃ
ᐃᓱᒪᕙᒃᑐᒍᑦ	ᐃᓱᒪ@ᕙᒃ@ᑐᒍᑦ
ᐱᕚᓪᓕᕈᑕᐅᔪᓂᒃ	ᐱ@ᕚᓪᓕ@ᕈᑕ@ᐅ@ᔪ@ᓂᒃ
ᖄᑐᐃᓐᓇᖓᓂᒃ	ᖄ@ᑐᐃᓐᓇ@ᖓᓂᒃ
ᒥᖃᑦᑕᖅᑐᑦ	ᒥ@ᖃᑦᑕᖅ@ᑐᑦ
ᓄᓇᒋᔭᐅᔪᒥᑦ	ᓄᓇ@ᒋ@ᔭ@ᐅ@ᔪ@ᒥᑦ
ᓇᒻᒥᓂᖁᑎᖃᐅᖅᑐᑦ	ᓇᒻᒥᓂ@ᖁᑎ@ᖃᐅᖅ@ᑐᑦ
ᐱᔾᔪᑕᐅᔪᒥᒃ	ᐱ@ᔾᔪᑕ@ᐅ@ᔪ@ᒥᒃ
ᐱᓕᕆᑦᑎᐊᖅᐳᖅ	ᐱ@ᓕᕆ@ᑦᑎᐊᖅ@ᐳᖅ
ᐊᐃᒃᐱᖅᐸᐅᒃ	ᐊᐃᒃᐱᖅ@ᐸᐅᒃ
ᐅᔾᔨᕆᔭᖃᓚᐅᕐᒪᑕ	ᐅᔾᔨ@ᕆ@ᔭ@ᖃ@ᓚᐅᕐ@ᒪᑕ
ᓇᖕᒥᓂᖃᖅᑐᑦ	ᓇᖕᒥᓂ@ᖃᖅ@ᑐᑦ
ᐊᖓᔪᖅᑳᓪᓚᕆᖓᑦ	ᐊᖓᔪᖅᑳ@ᓪᓚᕆ@ᖓᑦ
ᐃᑲᔪᖅᓯᕈᓐᓇᕐᒪᖔᑕ	ᐃᑲᔪᖅ@ᓯ@ᕈᓐᓇᕐ@ᒪᖔᑕ
ᓂᕆᓂᖅ	ᓂᕆ@ᓂᖅ
ᒪᓕᑉᐸᒻᒪᖔᑕ	ᒪᓕᑉ@ᐸᒻ@ᒪᖔᑕ
ᖃᐅᔨᖅᑳᕈᒪᔪᒍᑦ	ᖃᐅᔨ@ᖅᑳ@ᕈᒪ@ᔪᒍᑦ
ᐋᓐᓂᖅᑕᐅᒻᒥᒻᒪᑕᑦᑕᐅᖅ	ᐋᓐ@ᓂᖅ@ᑕ@ᐅ@ᒻᒥ@ᒻᒪᑕ@ᑦᑕᐅᖅ
ᒥᑦᑎᒪᑕᓕᖕᒥᒡᒎᖅ	ᒥᑦᑎᒪᑕᓕᖕ@ᒥᒡ@ᒎᖅ
ᐃᑲᔪᖅᓱᖅᑕᐅᔪᓐᓇᕐᒪᖔᑕ	ᐃᑲᔪᖅ@ᓱᖅ@ᑕ@ᐅ@ᔪᓐᓇᕐ@ᒪᖔᑕ
ᓯᓚᑐᓂᖅᓴᐅᖅᑰᖅᑐᑦ	ᓯᓚ@ᑐ@ᓂᖅᓴ@ᐅ@ᖅᑰᖅ@ᑐᑦ
ᓄᑲᒃᑲᓂ	ᓄᑲ@ᒃᑲᓂ
ᐃᓂᖃᓪᓗᐊᕐᒪᑦ	ᐃᓂ@ᖃ@ᓪᓗᐊᕐ@ᒪᑦ
ᐃᓪᓚᕌᓗ	ᐃᓪᓚ@ᕌᓗ
ᕿᓂᕈᑕᐅᔪᓂᒃ	ᕿᓂ@ᕈᑕ@ᐅ@ᔪ@ᓂᒃ
ᐱᒋᐊᖅᐸᓪᓕᐊᓕᕌᖓ	ᐱ@ᒋᐊᖅ@ᐸᓪᓕᐊ@ᓕ@ᕌᖓ
ᓴᖅᑭᑎᑕᒃᓴᖃᕋᒪ	ᓴᖅᑭ@ᑎ@ᑕ@ᒃᓴ@ᖃ@ᕋᒪ
ᐃᓚᒋᖕᒪᔾᔪᒃ	ᐃᓚ@ᒋ@ᖕᒪᔾᔪᒃ
ᐊᓚᒃᑲᐃᕙᓪᓕᐊᒍᓐᓇᕐᒪᖔᑦᑕ	ᐊᓚ@ᒃᑲ@ᐃ@ᕙᓪᓕᐊ@ᒍᓐᓇᕐ@ᒪᖔᑦᑕ
ᓇᓗᓇᕐᒪᑦ	ᓇᓗ@ᓇᕐ@ᒪᑦ
ᑲᒪᒋᔭᐅᖃᑕᐅᓪᓗᓂ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᖃᑕᐅ@ᓪᓗᓂ
ᐊᐱᕆᔪᖃᕈᒪᑉᐸᑦ	ᐊᐱᕆ@ᔪ@ᖃ@ᕈᒪ@ᑉᐸᑦ
ᑲᒪᒋᔭᕆᔭᐅᖕᒪᑦ	ᑲᒪ@ᒋ@ᔭ@ᕆ@ᔭ@ᐅ@ᖕᒪᑦ
ᐱᓕᕆᖃᑎᒌᖕᓂᖅ	ᐱ@ᓕᕆ@ᖃᑎ@ᒌᖕ@ᓂᖅ
ᓴᓇᒪᓂᐊᓄᑦ	ᓴᓇ@ᒪ@ᓂ@ᐊᓄᑦ
ᐱᕐᓗᐊᕿᒃᐸᑦ	ᐱᕐᓗ@ᐊ@ᕿ@ᒃᐸᑦ
ᑎᒃᑯᐊᖅᑕᐅᔪᓄᑦ	ᑎᒃᑯᐊᖅ@ᑕ@ᐅ@ᔪ@ᓄᑦ
ᐱᖁᔭᒧᑦ	ᐱ@ᖁ@ᔭ@ᒧᑦ
ᐅᕙᒻᓂᑦ	ᐅᕙ@ᒻᓂᑦ
ᐊᕐᕌᒍᒋᔭᖓᓄᑦ	ᐊᕐᕌᒍ@ᒋ@ᔭ@ᖓᓄᑦ
ᖁᕕᐊᓱᓚᐅᕐᒥᔪᒍᑦ	ᖁᕕᐊ@ᓱ@ᓚᐅᕐ@ᒥ@ᔪᒍᑦ
ᐊᑭᐊᒍᓐᓇᖅᑰᕋᒪ	ᐊᑭ@ᐊ@ᒍᓐᓇ@ᖅᑰ@ᕋᒪ
ᒥᑎᕐᓂᐊᕐᒪᑕ	ᒥᑎᕐ@ᓂᐊᕐ@ᒪᑕ
