ᖃᖑᖅᐸᓪᓕᐊᓂᖓᓄᑦ	ᖃᖑᖅ@ᐸᓪᓕᐊ@ᓂ@ᖓᓄᑦ
ᓂᕿᖃᑦᓯᐊᖏᓐᓂᕐᒧᑦ	ᓂᕿ@ᖃ@ᑦᓯᐊ@ᖏᓐ@ᓂᕐ@ᒧᑦ
ᑕᑯᔪᒃᓴᐅᕗᖅ	ᑕᑯ@ᔪᒃᓴ@ᐅ@ᕗᖅ
ᖁᕕᐊᒋᒻᒥᔭᕋ	ᖁᕕᐊ@ᒋ@ᒻᒥ@ᔭᕋ
ᐊᒃᓱᕈᓐᓇᕐᓂᖃᕈᓐᓇᕐᒪᑕ	ᐊᒃᓱ@ᕈᓐ@ᓇᕐ@ᓂ@ᖃ@ᕈᓐᓇᕐ@ᒪᑕ
ᐊᑖᑕᐅᔪᑎᒍᑦ	ᐊᑖᑕ@ᐅ@ᔪ@ᑎᒍᑦ
ᐱᓕᕆᑦᑎᐊᕐᓂᕐᒪᖔᑕ	ᐱ@ᓕᕆ@ᑦᑎᐊᕐ@ᓂᕐ@ᒪᖔᑕ
ᐸᐃᑉᐹᑦ	ᐸᐃ@ᑉ@ᐹᑦ
ᐅᑕᖅᑭᖃᑦᑕᖏᒻᒪᑕ	ᐅᑕᖅᑭ@ᖃᑦᑕ@ᖏᒻ@ᒪᑕ
ᖃᓄᐃᔅᓴᖏᒻᒪᑦ	ᖃᓄᐃ@ᔅᓴ@ᖏᒻ@ᒪᑦ
ᐅᖃᖅᑲᐅᒥᒻᒪᑦ	ᐅᖃ@ᖅᑲᐅ@ᒥ@ᒻᒪᑦ
ᐃᓕᓴᕆᔭᖅ	ᐃᓕᓴ@ᕆ@ᔭᖅ
ᖃᓪᓕᐸᓪᓕᐊᒻᒪᑦ	ᖃᓪᓕ@ᐸᓪᓕᐊ@ᒻᒪᑦ
ᐃᓪᓕᐊᑉ	ᐃᓪᓕᐊ@ᑉ
ᐃᓚᐅᓇᓱᒃᓱᓂ	ᐃᓚ@ᐅ@ᓇᓱᒃ@ᓱ@ᓂ
ᓯᓚᑦᑐᖅᓴᕐᕕᖓᓂᑦ	ᓯᓚ@ᑦᑐᖅ@ᓴᕐ@ᕕ@ᖓᓂᑦ
ᐱᔭᒃᓴᖃᖅᑎᓪᓗᒋᑦ	ᐱ@ᔭ@ᒃᓴ@ᖃᖅ@ᑎᓪᓗᒋᑦ
ᑕᒪᒃᑯᓂᖓᐅᑉᐸᑦ	ᑕᒪᒃᑯ@ᓂᖓ@ᐅ@ᑉᐸᑦ
ᐊᐱᕆᒪᐅᕐᒪᑦ	ᐊᐱᕆ@ᒪ@ᐅᕐ@ᒪᑦ
ᑭᒡᒐᖅᑐᐃᔨᖃᖅᐸᒃᐳᒍᑦ	ᑭᒡᒐᖅ@ᑐ@ᐃ@ᔨ@ᖃᖅ@ᐸᒃ@ᐳᒍᑦ
ᐱᔭᒃᓴᓕᒻᒧᑦ	ᐱ@ᔭ@ᒃᓴ@ᓕᒻ@ᒧᑦ
ᓄᓇᖅᑲᑎᑯᓗᒐ	ᓄᓇ@ᖅᑲᑎ@ᑯᓗ@ᒐ
ᓇᕝᕚᕐᕕᐅᔪᒪᕙᖕᒪᑕ	ᓇᕝᕚᕐ@ᕕ@ᐅ@ᔪᒪ@ᕙᖕ@ᒪᑕ
ᖃᐃᖃᑦᑕᖏᒻᒪᑕ	ᖃᐃ@ᖃᑦᑕ@ᖏᒻ@ᒪᑕ
ᓄᖅᑲᖅᑐᒃᓯᐅᑎᒃᓴᐅᔪᓂᒃ	ᓄᖅᑲᖅ@ᑐ@ᒃᓯ@ᐅᑎ@ᒃᓴ@ᐅ@ᔪ@ᓂᒃ
ᒐᕙᒪᖃᕈᓐᓇᖅᐳᒍᑦ	ᒐᕙᒪ@ᖃ@ᕈᓐᓇᖅ@ᐳᒍᑦ
ᐋᖅᑭᓐᓂᖃᓚᐅᕐᒪᑕ	ᐋᖅᑭᓐ@ᓂ@ᖃ@ᓚᐅᕐ@ᒪᑕ
ᐊᐅᓚᑕᑐᓗᓂ	ᐊᐅᓚ@ᑕ@ᑐ@ᓗᓂ
ᐊᔾᔨᒌᖏᒻᒪᑎᒃ	ᐊᔾᔨ@ᒌ@ᖏᒻ@ᒪᑎᒃ
ᐊᑐᐃᓐᓇᕆᔭᐅᔪᓂᑦ	ᐊᑐᐃᓐᓇ@ᕆ@ᔭ@ᐅ@ᔪ@ᓂᑦ
ᐃᑭᑕᐅᔪᒥᒃ	ᐃᑭ@ᑕ@ᐅ@ᔪ@ᒥᒃ
ᐱᔪᓐᓇᖅᓯᕙᓪᓕᐊᔾᔪᑕᐅᔪᑦ	ᐱ@ᔪᓐᓇᖅ@ᓯ@ᕙᓪᓕᐊ@ᔾᔪᑕ@ᐅ@ᔪᑦ
ᐃᓱᒪᒋᒻᒪᖔᑭᐊᖅ	ᐃᓱᒪ@ᒋᒻ@ᒪᖔ@ᑭᐊᖅ
ᐅᖅᓱᖅᑎᖅᑕᐅᑎᓪᓗᒋᑦ	ᐅᖅᓱᖅ@ᑎᖅ@ᑕ@ᐅ@ᑎᓪᓗᒋᑦ
ᐃᖏᕐᕋᕙᓪᓕᐊᓂᐅᔪᒥᒃ	ᐃᖏᕐᕋ@ᕙᓪᓕᐊ@ᓂ@ᐅ@ᔪ@ᒥᒃ
ᓄᖅᑲᕈᑦᑕ	ᓄᖅᑲ@ᕈᑦᑕ
ᐋᖅᑭᒃᓱᖅᑕᐅᔪᓐᓇᖅᑐᑦ	ᐋᖅᑭᒃ@ᓱᖅ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐃᓕᓴᕆᔪᓐᓇᕋᒃᑯ	ᐃᓕᓴ@ᕆ@ᔪᓐᓇ@ᕋᒃᑯ
ᐊᑐᖁᔨᒻᒥᔪᑦ	ᐊᑐ@ᖁ@ᔨ@ᒻᒥ@ᔪᑦ
ᓯᓚᑦᑐᖅᓴᕐᕕᑯᓐᓂᑦ	ᓯᓚ@ᑦᑐᖅ@ᓴᕐ@ᕕ@ᑯᓐ@ᓂᑦ
ᓄᓇᒥᐅᑕᓕᕆᔨᓂᒃ	ᓄᓇ@ᒥᐅᑕ@ᓕᕆ@ᔨ@ᓂᒃ
ᒪᑐᓯᒪᓂᖓᓄᑦ	ᒪᑐ@ᓯ@ᒪ@ᓂ@ᖓᓄᑦ
ᐅᖃᖅᓯ	ᐅᖃᖅ@ᓯ
ᑲᔪᓯᕙᓪᓕᐊᓕᖅᑐᑦ	ᑲᔪᓯ@ᕙᓪᓕᐊ@ᓕᖅ@ᑐᑦ
ᐱᔭᒥᓂᖓᓂᒃ	ᐱ@ᔭ@ᒥᓂ@ᖓᓂᒃ
ᐊᔾᔭᕐᒪᒍ	ᐊᔾᔭᕐ@ᒪᒍ
ᑲᒪᒋᔭᕆᔭᐅᔪᑦ	ᑲᒪ@ᒋ@ᔭ@ᕆ@ᔭ@ᐅ@ᔪᑦ
ᑎᑭᓴᕐᕕᐅᕙᓪᓕᐊᖑᓱᒻᒪᑕ	ᑎᑭ@ᓴᕐ@ᕕ@ᐅ@ᕙᓪᓕᐊ@ᖑᓱᒻ@ᒪᑕ
ᐊᓚᓂᖅ	ᐊᓚᓂᖅ
ᓯᓚᕐᔪᐊᓕᒫᒥᓗ	ᓯᓚ@ᕐᔪᐊ@ᓕᒫ@ᒥ@ᓗ
ᖁᕕᐊᓱᓛᖁᓗᒋᓪᓗ	ᖁᕕᐊ@ᓱ@ᓛ@ᖁ@ᓗ@ᒋᓪ@ᓗ
ᐊᐱᖅᓱᕋᑖᕐᒪᖔᖅ	ᐊᐱᖅ@ᓱ@ᕋᑖᕐ@ᒪᖔᖅ
ᖁᓕ	ᖁᓕ
ᓵᓚᖃᕐᑐᒥᓂᖅ	ᓵᓚ@ᖃᕐ@ᑐ@ᒥᓂᖅ
ᐃᓚᒋᐊᕐᒪᑕᒎᖅ	ᐃᓚ@ᒋᐊᕐ@ᒪᑕ@ᒎᖅ
ᑲᒪᔪᒪᓪᓗᓂ	ᑲᒪ@ᔪᒪ@ᓪᓗᓂ
ᐱᔪᓐᓇᕐᓯᑉᐸᑕ	ᐱ@ᔪᓐᓇᕐ@ᓯ@ᑉᐸᑕ
ᐱᒋᐊᖅᑐᒃᓴᐅᒻᒪᑦ	ᐱ@ᒋᐊᖅ@ᑐᒃᓴ@ᐅ@ᒻᒪᑦ
ᓯᕗᓪᓕᖅᐹᖓᓄᑦ	ᓯᕗ@ᓪᓕᖅ@ᐹ@ᖓᓄᑦ
ᖁᕝᕙᖅᑐᑦ	ᖁᕝᕙᖅ@ᑐᑦ
ᑐᓵᔪᒪᔪᑦ	ᑐᓵ@ᔪᒪ@ᔪᑦ
ᓴᓗᒪᒻᒪᖔᑕ	ᓴᓗ@ᒪ@ᒻᒪᖔᑕ
ᓯᕗᑐᔪᒧᑦ	ᓯᕗ@ᑐ@ᔪ@ᒧᑦ
ᓴᓇᔨᖃᖅᑎᓪᓗᒍ	ᓴᓇ@ᔨ@ᖃᖅ@ᑎᓪᓗᒍ
ᐊᑐᖁᔨᖕᒪᖔᑕ	ᐊᑐ@ᖁ@ᔨ@ᖕᒪᖔᑕ
ᐅᒥᒻᒪᒧᓪᓘᓐᓃᑦ	ᐅᒥᒻᒪ@ᒧᓪ@ᓘᓐᓃᑦ
ᐅᖃᕐᕕᒋᔪᒪᔭᒥᓄᑦ	ᐅᖃᕐ@ᕕ@ᒋ@ᔪᒪ@ᔭ@ᒥ@ᓄᑦ
ᖃᐃᔪᓐᓇᕐᒪᑦ	ᖃᐃ@ᔪᓐᓇᕐ@ᒪᑦ
ᓄᖅᑲᑕᕐᕕᖓᑦ	ᓄᖅᑲ@ᑕᕐ@ᕕ@ᖓᑦ
ᑐᓴᖅᑕᐅᔪᒪᕙᓪᓕᐊᓪᓚᕆᒻᒪᑦ	ᑐᓴᖅ@ᑕ@ᐅ@ᔪᒪ@ᕙᓪᓕᐊ@ᓪᓚᕆᒻ@ᒪᑦ
ᑎᑭᓐᓂᖓᓄᑦ	ᑎᑭᓐ@ᓂ@ᖓᓄᑦ
ᐃᑲᔪᖅᑐᓂᕐᒧᑦ	ᐃᑲᔪᖅ@ᑐ@ᓂᕐ@ᒧᑦ
ᐊᓯᐊᑦᑕᐅᖅ	ᐊᓯ@ᐊ@ᑦᑕᐅᖅ
ᐋᓗᐊᒧᑦ	ᐋ@ᓗᐊ@ᒧᑦ
ᐃᓱᒪᓕᕆᔨᐅᔪᑦ	ᐃᓱᒪ@ᓕᕆ@ᔨ@ᐅ@ᔪᑦ
ᒪᒪᕐᓂᖅᓴᐅᕙᖕᒪᑦ	ᒪᒪᕐ@ᓂᖅᓴ@ᐅ@ᕙᖕ@ᒪᑦ
ᖃᐅᔨᓴᖅᑕᐅᕗᖅ	ᖃᐅᔨ@ᓴᖅ@ᑕ@ᐅ@ᕗᖅ
ᕿᒥᕐᕈᕙᓪᓕᐊᒪᖔᑕ	ᕿᒥᕐᕈ@ᕙᓪᓕᐊ@ᒪᖔᑕ
ᑕᑯᒍᒪᖏᑦᑐᒍᑦ	ᑕᑯ@ᒍᒪ@ᖏᑦ@ᑐᒍᑦ
ᐋᖅᑭᓂᕐᒧᑦ	ᐋᖅᑭ@ᓂᕐ@ᒧᑦ
ᓯᕐᓗᐊᒃᓴᖅ	ᓯᕐᓗᐊ@ᒃᓴᖅ
ᑲᔪᓯᕙᓪᓕᐊᓕᕐᒪᑦ	ᑲᔪᓯ@ᕙᓪᓕᐊ@ᓕᕐ@ᒪᑦ
ᐄᔭᒐᖅᐸᒻᒪᑕ	ᐄ@ᔭ@ᒐᖅ@ᐸᒻ@ᒪᑕ
ᑐᕌᖓᓂᕐᒧᑦ	ᑐᕌ@ᖓ@ᓂᕐ@ᒧᑦ
ᓇᒻᒥᓂᖃᕐᓗᑕ	ᓇᒻᒥᓂ@ᖃᕐ@ᓗᑕ
ᐊᐱᕆᔪᒪᓕᕋᐃᒍᕕᑦ	ᐊᐱᕆ@ᔪᒪ@ᓕᕋᐃ@ᒍᕕᑦ
ᖃᐅᔨᓴᕐᓂᖃᕐᒪᑕ	ᖃᐅᔨ@ᓴᕐ@ᓂ@ᖃᕐ@ᒪᑕ
ᑕᕝᕙᐅᖏᒻᒪᑦ	ᑕᕝᕙ@ᐅ@ᖏᒻ@ᒪᑦ
ᐊᓪᓚᕝᕕᖃᒃᑲᓐᓂᕈᓐᓇᕐᒪᖔᑕ	ᐊᓪᓚᕝ@ᕕ@ᖃ@ᒃᑲᓐᓂ@ᕈᓐᓇᕐ@ᒪᖔᑕ
ᖃᐅᔨᒪᒋᕗᑦ	ᖃᐅᔨᒪ@ᒋ@ᕗᑦ
ᖃᐅᔨᒋᐊᕐᓂᖃᓚᐅᕐᒪᑕ	ᖃᐅᔨ@ᒋᐊᕐ@ᓂ@ᖃ@ᓚᐅᕐ@ᒪᑕ
ᐳᓚᕋᕐᓇᐅᔪᓄᑦ	ᐳᓚ@ᕋᕐ@ᓇ@ᐅ@ᔪ@ᓄᑦ
ᐊᔪᓕᕈᑕᐅᔪᓂᒃ	ᐊᔪ@ᓕ@ᕈᑕ@ᐅ@ᔪ@ᓂᒃ
ᐃᓚᓛᕋᔅᓯᐅᒃ	ᐃᓚ@ᓛ@ᕋᔅᓯᐅᒃ
ᒪᓐᓇᓘᓐᓃᑦ	ᒪᓐᓇ@ᓘᓐᓃᑦ
ᓈᒻᒪᐸᙱᑦᑐᑦ	ᓈᒻᒪ@ᐸ@ᙱᑦ@ᑐᑦ
ᐊᖅᑯᒻᒥᑦ	ᐊᖅᑯᒻ@ᒥᑦ
ᑕᑯᓇᖕᓂᐊᔪᓪᓗᓂᐅᒃ	ᑕᑯ@ᓇᖕ@ᓂ@ᐊᔪᓪ@ᓗᓂᐅᒃ
ᐱᕙᓪᓕᐊᑎᑦᓯᔨᑎᒍᑦ	ᐱ@ᕙᓪᓕᐊ@ᑎᑦ@ᓯ@ᔨ@ᑎᒍᑦ
ᐱᖃᕐᒪᓐ	ᐱ@ᖃᕐ@ᒪᓐ
ᐊᖏᕈᑦᓯᐅᒃ	ᐊᖏ@ᕈᑦᓯᐅᒃ
ᐃᑲᔪᖅᓱᖃᑦᑕᖅᐲᑦ	ᐃᑲᔪᖅ@ᓱ@ᖃᑦᑕᖅ@ᐲᑦ
ᐊᔾᔨᒌᙱᓪᓚᕆᐅᒻᒪᑎᒃ	ᐊᔾᔨ@ᒌ@ᙱ@ᓪᓚᕆ@ᐅ@ᒻᒪᑎᒃ
ᐋᓐᓂᖅᑎᖅᑕᐅᔪᒧᑦ	ᐋᓐ@ᓂᖅ@ᑎᖅ@ᑕ@ᐅ@ᔪ@ᒧᑦ
ᐅᓄᖅᓯᕙᓪᓕᐊᑎᓪᓗᒋᑦ	ᐅᓄᖅ@ᓯ@ᕙᓪᓕᐊ@ᑎᓪᓗᒋᑦ
ᐱᔪᓐᓇᑦᓯᐊᖏᒻᒪᑕᖃᐃ	ᐱ@ᔪᓐᓇ@ᑦᓯᐊ@ᖏᒻ@ᒪᑕ@ᖃᐃ
ᑕᑯᔪᒪᓚᐅᖅᑐᑦ	ᑕᑯ@ᔪᒪ@ᓚᐅᖅ@ᑐᑦ
ᑎᑎᕋᐅᓯᖅᑕᖃᕐᒪᑦ	ᑎᑎ@ᕋ@ᐅ@ᓯᖅ@ᑕ@ᖃᕐ@ᒪᑦ
ᐃᓚᒋᐊᕈᑕᐅᒻᒪᑕ	ᐃᓚ@ᒋᐊ@ᕈᑕ@ᐅ@ᒻᒪᑕ
ᑖᒃᑯᓄᖓᒎᖅ	ᑖᒃᑯ@ᓄᖓ@ᒎᖅ
ᑕᐃᒪᐃᑦᑐᓐᓇᙱᑦᑐᑦ	ᑕᐃᒪᐃᑦ@ᑐᓐᓇᙱᑦ@ᑐᑦ
ᐊᑐᖅᑕᐅᔪᒪᑉᐸᑕ	ᐊᑐᖅ@ᑕ@ᐅ@ᔪᒪ@ᑉᐸᑕ
ᓯᓚᕐᔪᐊᓕᒫᖅ	ᓯᓚ@ᕐᔪᐊ@ᓕᒫᖅ
ᖃᐅᔨᓴᕐᓂᖅᑕᖃᑳᓪᓚᒍᓐᓇᕐᒪᖔᓐ	ᖃᐅᔨ@ᓴᕐ@ᓂᖅ@ᑕ@ᖃ@ᑳᓪᓚ@ᒍᓐᓇᕐ@ᒪᖔᓐ
ᑕᐅᖅᓯᕋᐅᑎᓂᖅ	ᑕᐅᖅᓯ@ᕋ@ᐅᑎ@ᓂᖅ
ᐊᖓᔪᖅᑳᕐᔪᐊᖃᕐᕕᐅᖕᒪᑦ	ᐊᖓᔪᖅᑳᕐ@ᔪᐊ@ᖃᕐᕕ@ᐅ@ᖕᒪᑦ
ᑭᐅᒍᑎᑕᓕᒃ	ᑭᐅ@ᒍᑎ@ᑕᓕᒃ
ᐊᔭᐅᖅᑐᐃᔨᐅᖃᑕᐅᔪᓄᑦ	ᐊᔭ@ᐅᖅ@ᑐ@ᐃ@ᔨ@ᐅ@ᖃᑕᐅ@ᔪ@ᓄᑦ
ᓇᓴ	ᓇᓴ
ᑕᕐᕋᖓᓂᑦ	ᑕᕐᕋ@ᖓᓂᑦ
ᑕᒪᒃᑯᑎᑐᓇ	ᑕᒪᒃᑯ@ᑎᑐᓇ
ᐃᑲᔪᖅᑕᐅᔪᓐᓇᕐᒥᔪᒍᑦ	ᐃᑲᔪᖅ@ᑕ@ᐅ@ᔪᓐᓇᕐ@ᒥ@ᔪᒍᑦ
ᓵᓚᒃᓴᖅᑐᖃᖅᑎᓪᓗᒍ	ᓵᓚ@ᒃᓴᖅ@ᑐ@ᖃᖅ@ᑎᓪᓗᒍ
ᐊᒡᓚᕝᕕᒋᑲᐃᓐᓇᖅᐸᐅᒃ	ᐊᒡᓚᕝ@ᕕ@ᒋ@ᑲᐃᓐᓇᖅ@ᐸᐅᒃ
ᐃᓚᔅᓴᓂᓛᕐᒪᑕ	ᐃᓚ@ᔅᓴ@ᓂ@ᓛᕐ@ᒪᑕ
ᑕᑯᔭᐅᓂᖃᕈᓐᓇᕐᒪᑕ	ᑕᑯ@ᔭ@ᐅ@ᓂ@ᖃ@ᕈᓐᓇᕐ@ᒪᑕ
ᐊᑭᖃᓛᕐᒪᖔᖅ	ᐊᑭ@ᖃ@ᓛᕐ@ᒪᖔᖅ
ᐊᕙᓗᓕᖅᑕᐅᑎᓪᓗᒍ	ᐊᕙᓗ@ᓕᖅ@ᑕ@ᐅ@ᑎᓪᓗᒍ
ᐋᖅᑭᒃᓱᐃᓇᓱᒃᑎᓪᓗᒋᑦ	ᐋᖅᑭᒃ@ᓱ@ᐃ@ᓇᓱᒃ@ᑎᓪᓗᒋᑦ
ᐱᓕᕆᖃᑕᐅᖃᑦᑕᕐᒪᑕ	ᐱ@ᓕᕆ@ᖃᑕᐅ@ᖃᑦᑕᕐ@ᒪᑕ
ᐱᕙᓪᓕᐊᒻᒪᑦ	ᐱ@ᕙᓪᓕᐊ@ᒻᒪᑦ
ᐱᙳᐊᖃᑕᐅᓚᐅᖅᑐᑦ	ᐱ@ᙳᐊ@ᖃᑕᐅ@ᓚᐅᖅ@ᑐᑦ
ᐱᕙᓪᓕᐊᔪᕆᔨᒃᑯᓐᓄᑦ	ᐱ@ᕙᓪᓕᐊ@ᔪ@ᕆ@ᔨ@ᒃᑯᓐ@ᓄᑦ
ᐊᐅᓚᔾᔭᒋᐊᕐᓂᐅᔪᒥᒃ	ᐊᐅᓚᔾᔭ@ᒋᐊᕐ@ᓂ@ᐅ@ᔪ@ᒥᒃ
ᐊᔪᖅᐱᑕ	ᐊᔪᖅ@ᐱᑕ
ᐃᒡᓗᖃᖏᑦᑐᑦ	ᐃᒡᓗ@ᖃ@ᖏᑦ@ᑐᑦ
ᐅᑭᐅᒋᔭᑦᑕ	ᐅᑭ@ᐅ@ᒋ@ᔭᑦ@ᑕ
ᓴᓇᔪᒪᒻᒪᖔᑕ	ᓴᓇ@ᔪᒪ@ᒻᒪᖔᑕ
ᑲᒪᒋᔭᐅᓛᕐᒪᖔᖅ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᓛᕐ@ᒪᖔᖅ
ᖁᕝᕙᕆᐊᕐᓂᐅᖕᒪᑦ	ᖁᕝᕙ@ᕆᐊᕐ@ᓂ@ᐅ@ᖕᒪᑦ
ᐊᑯᓂᒋᔭᐅᒻᒪᑦ	ᐊᑯᓂ@ᒋ@ᔭ@ᐅ@ᒻᒪᑦ
ᐊᖏᓂᖅᓴᐅᓪᓗᓂᓗ	ᐊᖏ@ᓂᖅᓴ@ᐅ@ᓪᓗᓂ@ᓗ
ᑲᑕᑉᐳᖅ	ᑲᑕᑉ@ᐳᖅ
ᐃᑲᔪᖅᑐᖅᑕᐅᕙᒃᑐᑦ	ᐃᑲᔪᖅ@ᑐᖅ@ᑕ@ᐅ@ᕙᒃ@ᑐᑦ
ᐊᑦᑐᐃᖕᒪᑦ	ᐊᑦᑐ@ᐃ@ᖕᒪᑦ
ᐊᔾᔨᐅᖏᓐᓂᑯᖓᓄᑦ	ᐊᔾᔨ@ᐅ@ᖏᓐ@ᓂ@ᑯ@ᖓᓄᑦ
ᑲᔪᓯᑎᑦᑎᔪᒪᖕᒪᑕ	ᑲᔪᓯ@ᑎᑦ@ᑎ@ᔪᒪ@ᖕᒪᑕ
ᑕᐃᒐᐃᒍᒃᑭᒃ	ᑕᐃ@ᒐᐃ@ᒍᒃᑭᒃ
ᐃᕐᓂᕆᒻᒪᒍ	ᐃᕐᓂ@ᕆ@ᒻᒪᒍ
ᑎᑎᕋᖅᑕᐅᔪᓂᒃ	ᑎᑎ@ᕋᖅ@ᑕ@ᐅ@ᔪ@ᓂᒃ
ᖃᐅᔨᓴᖃᑦᑕᖏᒻᒪᑕ	ᖃᐅᔨ@ᓴ@ᖃᑦᑕ@ᖏᒻ@ᒪᑕ
ᓇᕿᑕᐅᒃᐸᑦ	ᓇᕿ@ᑕ@ᐅ@ᒃᐸᑦ
ᐊᖓᔪᑦᓯᐹᖁᑎᒐᓗ	ᐊᖓᔪ@ᑦᓯ@ᐹ@ᖁ@ᑎ@ᒐ@ᓗ
ᑕᒪᑐᒪᓕᕆᓕᖅᑎᓪᓗᒋᑦ	ᑕᒪᑐ@ᒪ@ᓕᕆ@ᓕᖅ@ᑎᓪᓗᒋᑦ
ᐊᓂᒍᐃᓪᓗᑕᓗ	ᐊᓂ@ᒍ@ᐃ@ᓪᓗᑕ@ᓗ
ᐅᓯᔾᔪᑕᐅᔪᓂᒃ	ᐅᓯ@ᔾᔪᑕ@ᐅ@ᔪ@ᓂᒃ
ᐃᒥᖅᑕᖅᑕᐅᓂᖅ	ᐃᒥᖅ@ᑕᖅ@ᑕ@ᐅ@ᓂᖅ
ᓵᓚᒃᓴᕋᓱᓗᐊᕐᓂᖅ	ᓵᓚ@ᒃᓴ@ᕋᓱ@ᓗᐊᕐ@ᓂᖅ
ᓱᕋᐃᓯᒪᓂᕋᖅᑕᐅᔪᓂᒃ	ᓱᕋ@ᐃ@ᓯ@ᒪ@ᓂᕋᖅ@ᑕ@ᐅ@ᔪ@ᓂᒃ
ᓴᓇᔨᖃᖅᑎᑦᓯᕙᑉᐳᑦ	ᓴᓇ@ᔨ@ᖃᖅ@ᑎ@ᑦᓯ@ᕙᑉ@ᐳᑦ
ᓯᑯᕙᓪᓕᐊᑎᓪᓗᒍ	ᓯᑯ@ᕙᓪᓕᐊ@ᑎᓪᓗᒍ
ᕿᒧᒃᓯᐅᕐᔪᐊᖅᑐᖃᓚᐅᕐᒪᑦ	ᕿᒧᒃ@ᓯ@ᐅᕐ@ᔪᐊᖅ@ᑐ@ᖃ@ᓚᐅᕐ@ᒪᑦ
ᐊᓯᐊᓄᖃᐃ	ᐊᓯ@ᐊᓄ@ᖃᐃ
ᑭᓱᒧᓪᓘᓐᓃᑦ	ᑭᓱ@ᒧᓪ@ᓘᓐᓃᑦ
ᖁᒪᒃ	ᖁᒪᒃ
ᐅᖁᖃᖃᑦᑕᕐᓂᖅ	ᐅᖁ@ᖃ@ᖃᑦᑕᕐ@ᓂᖅ
ᑕᖅᑭᓕᒫᖅ	ᑕᖅᑭ@ᓕᒫᖅ
ᐊᐃᕙᓇᓱᖏᓐᓇᑦᑕ	ᐊᐃᕙ@ᓇᓱ@ᖏᓐᓇᑦ@ᑕ
ᐱᔪᓐᓇᕐᓂᖃᑦᓯᐊᖅᐳᖅ	ᐱ@ᔪᓐᓇᕐ@ᓂ@ᖃ@ᑦᓯᐊᖅ@ᐳᖅ
ᐃᔨᒋᓂᕆᔭᖓᓂᒃ	ᐃᔨ@ᒋ@ᓂ@ᕆ@ᔭ@ᖓᓂᒃ
